Provincie,2016,2015,2014,2013,2012,2011,2010
0, 0, 0, 0, 0,
Noord-Brabant, 93.7, 93.9, 94.1, 94.2, 94.6, 94.1, 94.8
Utrecht, 92, 91.7, 92.4, 93, 92.5, 92.5, 90.6
Zuid-Holland, 91.1, 91.2, 90.4, 90.7, 91.1, 91.1, 91
Noord-Holland, 90.4, 90.9, 91.5, 91.9, 91.7, 90.5, 89.6
Drenthe, 92.2, 93.8, 94.6, 94.3, 94.1, 94.2, 93.9
Friesland, 92.9, 93, 92.8, 94.2, 93.3, 93.1, 93.3
Gelderland, 90, 91.4, 91.4, 91.4, 91.6, 91.3, 90.8
Groningen, 93.8, 93.8, 93.8, 93.5, 93.3, 93.9, 95.1
Limburg, 92.6, 92.9, 93.2, 92.8, 93.2, 93.1, 93.2
Overijssel, 92.9, 93.3, 93.4, 93.6, 93.2, 93.3, 92.7
Flevoland, 89.4, 89.3, 90.1, 90.7, 89.7, 90.8, 88.1
Zeeland, 86.9, 86.6, 86.8, 88.1, 88.1, 88.5, 88.2
